Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
152;Togo;139;;27;;990;373;;167;3;64092;7714;8308808
153;Burkina Faso;1352;;55;;1058;239;;64;3;;;20991005
154;Liberia;1304;;82;;872;350;;257;16;;;5076108
155;Guyana;1184;;35;;636;513;9;1504;44;8079;10263;787174
156;Niger;1175;;69;;1085;21;;48;3;9052;372;24336834
157;Guadeloupe;1145;;16;;336;793;9;2862;40;29595;73963;400135
158;Andorra;1124;;53;;902;169;3;14544;686;137457;1778573;77285
159;Lesotho;1051;;31;;526;494;;490;14;15023;7004;2145008
160;Vietnam;104;;32;;677;331;;11;0.3;1009145;10352;97480451
161;Chad;1008;;77;;878;53;;61;5;;;16497705
162;Belize;964;;13;;115;836;8;2417;33;7965;19974;398766
163;Sao Tome and Principe;895;;15;;848;32;;4072;68;3746;17043;2198
164;Myanmar;749;16;6;;351;392;;14;0.1;156042;2865;54469273
165;Diamond Princess;712;;13;;651;48;4;;;;;
166;San Marino;710;;42;;658;10;;20917;1237;6678;196742;33943
167;Channel Islands;625;;48;;545;32;;3589;276;68985;396188;174122
168;Martinique;596;;16;;98;482;3;1588;43;12227;32586;375217
169;Tanzania;509;;21;;183;305;7;8;0.4;;;59993731
170;Turks and Caicos;490;;3;;148;339;3;12629;77;2367;61004;38801
171;Taiwan;488;;7;;462;19;;20;0.3;86983;3651;23823899
172;French Polynesia;482;;;;202;280;3;1714;;14029;49895;281173
173;Sint Maarten;460;16;17;;179;264;8;10709;396;2281;53103;42954
174;Papua New Guinea;459;6;5;;232;222;;51;0.6;15592;1738;8973676
175;Burundi;445;;1;;357;87;;37;0.08;24659;2064;11944567
176;Comoros;423;;7;;399;17;;485;8;;;872493
177;Faeroe Islands;411;;;;362;49;2;8406;;92895;1899926;48894
178;Mauritius;355;;10;;335;10;;279;8;227409;178764;1272117
179;Isle of Man;336;;24;;312;0;;3948;282;984;115619;85107
180;Eritrea;318;;;;284;34;;89;;;;3554260
181;Mongolia;301;;;;295;6;1;92;;53417;16253;3286664
182;Gibraltar;275;;;;226;49;;8163;;33695;1000178;33689
183;Cambodia;273;;;;265;8;1;16;;96451;5756;16755919
184;Saint Martin;213;;5;;79;129;11;5494;129;2756;71086;3877
185;Cayman Islands;205;;1;;202;2;;3113;15;35195;534505;65846
186;Bhutan;195;;;;135;60;;252;;97956;126726;772976
187;Barbados;170;;7;;141;22;;591;24;1678;58379;287433
188;Bermuda;169;;9;;153;7;;2715;145;43629;700991;62239
189;Brunei ;144;;3;;139;2;;329;7;51103;116632;438156
190;Seychelles;136;;;;127;9;;1381;;;;98446
191;Monaco;130;;1;;89;40;1;3309;25;51953;1322397;39287
192;Liechtenstein;107;;1;;97;9;;2805;26;900;23594;38146
193;Antigua and Barbuda;94;;3;;89;2;1;959;31;1875;19121;98061
194;Curacao;62;;1;;35;26;;378;6;108;6577;164203
195;St. Vincent Grenadines;60;;;;57;3;;541;;3315;29865;110998
196;Macao;46;;;;46;0;;71;;4071;6256;65075
197;British Virgin Islands;35;;1;;8;26;;1156;33;2853;9427;30264
198;Fiji;28;;2;;23;3;;31;2;6693;7457;897503
199;Timor-Leste;27;;;;25;2;;20;;5146;3891;1322393
200;Saint Lucia;26;;;;25;1;;141;;5323;28966;183765
201;Grenada;24;;;;24;0;;213;;6252;5552;112609
202;New Caledonia;23;;;;23;0;;80;;1237;43261;285942
203;Laos;22;;;;21;1;;3;;37956;5205;7292388
204;Dominica;20;;;;18;2;;278;;2022;28077;72015
205;St. Barth;18;;;;13;5;;1821;;2075;209978;9882
206;Saint Kitts and Nevis;17;;;;17;0;;319;;1564;29365;5326
207;Caribbean Netherlands;15;;;;7;8;;571;;900;3427;26262
208;Greenland;14;;;;14;0;;247;;6727;118462;56786
209;Montserrat;13;;1;;12;0;;2604;200;61;12217;4993
210;Falkland Islands;13;;;;13;0;;372;;2256;645494;3495
211;Vatican City;12;;;;12;0;;14981;;;;801
212;Western Sahara;10;;1;;8;1;;17;2;;;599608
213;MS Zaandam;9;;2;;;7;;;;;;
214;Saint Pierre Miquelon;5;;;;1;4;;864;;;;5789
215;Anguilla;3;;;;3;0;;200;;808;53777;15025
